LOAN_PRODUCT_TYPE;LOAN_AMOUNT;BRANCH_REGION;CLIENT_GENDER;CLIENT_FAMILYSTATUS;CLIENT_TOTALEXPERIENCE;CLIENT_EDUCATION;CLIENT_ACTIVITYTYPE;CLIENT_TOGETHER INCOME;LOAN_OUTSTANDINGLOANSCOUNT;LOAN_OVERDUE_EXIST_FLAG;EMPLOYMENTTYPE;LOAN TERM;ZODIAC;ZODIAC_CHINA;AGE;CHANGE-WORK;REAL_ESTATE;CAR;DELAY
Cпоживчий кредит без довiдки про доходи;6742,74;Харківська область;Жінка;Розлучений (-на);25;Середня - технічна;торгівля та послуги;4100;4;Так;ФОП;364;весы;Тигр;66; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;28026,91;Київ;Жінка;Неодружений(-на);7;Незакінчена вища;торгівля та послуги;12000;4;Так;Офіційно працевлаштований;1093;козерог;Обезьяна;25; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;6788,79;Харківська область;Жінка;Одружений (-на);10;Середня;торгівля та послуги;3200;1;Так;Офіційно працевлаштований;729;телец;Коза;38; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Споживчий кредит з довiдкою про доходи;67264,57;Чернігівська область;Жінка;Одружений (-на);20;Вища освіта;інша;9300;2;Ні;Офіційно працевлаштований;1095;водолей;Крыса;45; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;5394,19;Чернігівська область;Жінка;Вдова (-ець);30;Середня - технічна;інша;3000;0;Ні;Офіційно працевлаштований;364;стрелец;Петух;59; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;25933,61;Полтавська область;Жінка;Одружений (-на);27;Середня - технічна;торгівля та послуги;15000;10;Так;Самозайнята особа;180;овен;Собака;47; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;12331,84;Херсонська область;Жінка;Розлучений (-на);15;Середня - технічна;державна служба;2600;2;Ні;Офіційно працевлаштований;1095;овен;Коза;38; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
"Споживчий кредит ""Лояльний""";12448,13;Харківська область;Чоловік;Одружений (-на);15;Середня - технічна;інша;5600;2;Так;Офіційно працевлаштований;364;дева;Свинья;33; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;28026,91;Миколаївська область;Жінка;Розлучений (-на);32;Середня - технічна;державна служба;6700;5;Так;Офіційно працевлаштований;1095;рак;Змея;52; була зміна місця роботи;має власну нерухомість;не має власного;есть прострочка
"Споживчий кредит ""Лояльний""";11210,76;Полтавська область;Чоловік;Розлучений (-на);40;Вища освіта;торгівля та послуги;7000;7;Так;Офіційно працевлаштований;1095;лев;Кролик;66; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;5186,72;Донецька область;Жінка;Вдова (-ець);15;Середня;виробництво;3500;2;Так;Офіційно працевлаштований;180;водолей;Лошадь;51; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;10373,44;Харківська область;Чоловік;Одружений (-на);23;Середня - технічна;виробництво;15000;5;Так;Офіційно працевлаштований;364;стрелец;Бык;43; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
"Споживчий кредит ""Лояльний""";15560,17;Харківська область;Жінка;Одружений (-на);38;Середня - технічна;інша;4726,53;1;Ні;Офіційно працевлаштований;364;рыбы;Крыса;57; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;10373,44;Кіровоградська область;Жінка;Одружений (-на);33;Вища освіта;державна служба;8000;4;Так;Офіційно працевлаштований;364;близнецы;Кролик;54; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;5186,72;Полтавська область;Жінка;Одружений (-на);4;Середня - технічна;виробництво;5200;4;Ні;Офіційно працевлаштований;364;близнецы;Крыса;21; була зміна місця роботи;не має власної нерухомості;не має власного;нет прострочки
Cпоживчий кредит без довiдки про доходи;28026,91;Львівська область;Жінка;Одружений (-на);4;Середня;торгівля та послуги;8000;3;Так;Офіційно працевлаштований;1095;рыбы;Собака;23; була зміна місця роботи;не має власної нерухомості;не має власного;есть прострочка
Cпоживчий кредит без довiдки про доходи;28026,91;Чернігівська область;Чоловік;Розлучений (-на);33;Середня;торгівля та послуги;30000;5;Так;ФОП;1095;рак;Петух;48; була зміна місця роботи;має власну нерухомість;має власний автомобіль;нет прострочки
"Споживчий кредит ""Лояльний""";26939,66;Кіровоградська область;Чоловік;Розлучений (-на);16;Вища освіта;державна служба;12000;4;Ні;Офіційно працевлаштований;728;стрелец;Коза;37; була зміна місця роботи;має власну нерухомість;не має власного;нет прострочки
