CLIENT_TOGETHER INCOME;LOAN_OUTSTANDINGLOANSCOUNT;DELAY
9000;3;0
10000;5;0
22500;0;0
8000;2;0
8000;4;1
15000;7;1
6000;1;0
4200;5;0
3500;5;0
2439,05;5;0
5600;5;0
6330;1;0
9000;11;1
9000;1;0
8500;9;1
6700;3;0
5000;7;1
7000;8;1
7000;2;0
5000;1;0
7000;4;1
8500;6;0
15000;3;0
10000;4;1
9000;1;0
4500;6;1
15000;1;0
71000;1;0
71000;1;0
71000;1;0
10844,98;0;0
10000;4;0
7130;0;0
8500;5;1
5700;2;1
5482,32;1;0
5000;3;0
7837,63;4;1
16000;1;0
7000;3;1
4300;3;0
7394,25;0;0
10000;0;0
4000;1;1
3100;4;0
3350;0;0
8700;3;0
3200;3;1
2200;3;0
7500;8;1
4550;1;0
7000;1;0
7000;4;1
4000;1;0
7000;4;1
2100;4;0
4000;3;0
20000;5;1
4400;1;0
10000;5;1
8000;12;1
3500;6;1
10000;4;1
18000;2;0
8000;2;1
8000;1;1
5500;5;1
7500;15;1
6000;14;1
8000;1;1
10000;3;0
11984,43;2;0
20000;9;1
8000;12;0
10500;5;0
5500;6;1
2500;2;0
5500;3;1
25000;2;0
8000;2;0
6000;3;1
5000;3;0
12000;0;0
30000;4;0
5000;1;0
2800;1;0
5000;5;0
5500;3;1
4200;2;0
5000;4;1
24873,17;3;0
4000;5;0
6000;6;0
9000;5;0
3000;2;0
4500;3;0
7000;3;1
5000;1;0
7000;1;0
7200;6;0
5700;2;1
5200;1;1
7000;3;0
95729,27;5;1
8000;2;1
7500;5;0
13000;3;0
70409;5;0
7500;3;1
6400;2;0
6000;2;1
5900;2;0
4300;1;1
10000;1;0
9000;1;1
6000;4;0
10000;7;1
70409;5;0
4000;4;0
8500;1;0
3500;7;1
5700;1;0
25000;1;0
6500;1;0
9000;7;0
5000;5;1
3380;2;0
10000;1;1
10000;2;1
12500;3;0
7950;6;0
6000;3;1
6500;13;1
6000;2;1
7000;6;1
4800;1;1
8300;5;0
80000;13;1
4300;1;0
5000;4;0
5800;2;0
6100;5;1
11368;2;0
9000;10;0
3005;2;1
8000;10;1
4500;1;1
7200;6;0
5000;1;1
7000;2;0
11000;6;0
4800;4;0
5500;3;0
6991,61;0;0
70409;5;0
6000;4;0
5000;4;0
6000;4;0
6991,61;0;0
3500;2;0
5500;1;0
70409;5;0
5000;2;0
14500;4;0
7500;6;0
4500;2;1
20000;21;1
4200;2;1
5500;1;0
12000;4;1
3200;2;0
10000;1;0
6000;3;1
6000;5;1
7570;3;1
3500;1;0
6300;5;1
12000;10;1
3100;3;0
12000;2;0
7500;2;1
3800;3;0
9000;8;1
4500;1;0
2544;3;0
3500;2;0
6900;4;0
8000;2;0
3912;2;1
22000;8;0
6000;6;1
6991,61;0;0
6500;0;0
5090;3;0
4800;2;0
4500;1;1
5500;1;1
7000;0;1
32000;2;1
6268;7;1
6000;6;0
4200;3;0
8365;4;1
30000;13;1
10000;7;1
15000;5;0
10000;4;1
23000;6;0
5000;3;0
9000;7;0
3000;2;0
5000;2;1
4600;2;0
5000;0;0
14800;2;0
6000;2;1
5200;1;1
8000;8;0
6500;6;1
3475,11;3;0
3800;1;0
3500;2;1
7100;4;1
6000;4;1
20000;9;1
2500;3;1
5500;1;1
6000;2;1
6000;3;0
18000;10;1
11500;2;1
7000;2;1
7500;2;1
15000;1;0
10000;3;0
12000;4;0
11000;4;0
72820;3;0
3200;5;0
3600;0;0
5000;0;0
3500;1;0
6000;1;1
6000;13;1
10000;2;1
5481,04;1;0
5000;0;1
27965,58;13;1
10500;3;1
15000;8;1
5500;1;0
9000;7;0
9000;2;1
27965,58;13;1
4000;1;0
6550;2;0
21600;4;0
3500;3;0
5000;3;0
6268;7;0
4800;2;0
7000;3;0
2500;2;1
20000;2;0
4500;4;1
9500;1;0
12000;20;1
15000;11;0
3800;2;1
7000;6;0
10000;2;1
4100;2;0
5000;1;0
5000;1;0
5000;1;1
5000;1;1
6000;1;1
13038;2;1
4000;0;0
4000;1;1
5000;0;0
95700;5;1
15000;4;0
10941,12;5;0
14892,5;5;1
6000;3;0
7000;4;0
4000;1;0
6500;1;0
4200;0;0
1818,46;3;0
6400;1;0
4500;1;0
6000;2;0
4500;4;0
3200;0;0
9891,54;2;0
5100;2;1
6500;4;0
7000;0;1
7000;4;0
53415;5;1
6000;3;0
10000;4;1
5700;1;0
15000;2;0
4000;3;0
10500;1;0
8500;4;0
5000;2;0
8000;0;0
4500;2;1
5000;3;0
3200;2;0
2900;5;1
3345;1;0
3500;1;1
13416,67;2;1
4000;8;1
4200;2;0
8000;3;1
3500;6;0
8500;2;1
2470;1;1
8500;7;0
53650,5;4;1
9000;1;0
6000;4;1
6831,48;1;0
5200;6;0
4500;1;0
8800;2;0
4000;4;1
8000;1;0
8000;6;1
4500;2;0
3000;0;0
4000;2;0
5500;0;0
10000;0;1
5500;5;0
4000;4;0
9424,33;1;1
8500;7;1
4700;6;1
7000;1;0
19000;8;1
12000;6;1
80000;13;1
7500;6;1
8191,91;0;0
4500;0;0
9000;6;0
7600;0;0
6000;2;0
16000;13;1
6000;0;0
4200;0;0
2800;2;1
8000;1;1
7800;1;0
8000;1;1
12000;1;1
15000;9;0
10000;5;0
11000;13;1
13500;3;0
5000;4;1
4000;1;0
5300;3;0
8500;0;1
9500;2;0
89274,74;3;1
4500;4;0
4232,76;2;0
8149,75;4;0
5000;0;0
7200;1;0
5200;1;0
10000;4;0
15697,5;4;1
2900;1;0
6000;4;1
3200;0;0
2385,11;1;0
4500;3;0
6000;4;0
3500;2;0
8500;8;1
6490;1;1
3512,59;2;0
6500;4;1
8000;2;0
6500;3;1
8300;2;0
7299,84;2;0
7000;2;1
12000;1;1
8000;3;0
6000;1;0
6500;9;1
20000;10;0
57560,65;7;1
5000;1;0
4500;1;0
10729;1;0
5500;3;1
3000;3;0
7500;4;0
10000;4;0
18000;1;1
3200;3;1
9679,21;0;0
6000;3;1
6193;3;0
6000;1;0
6000;3;1
4500;5;0
5000;2;1
6000;5;0
7500;4;0
58250;4;0
6500;12;1
5695;6;1
4000;5;0
3600;5;0
12000;6;1
4500;2;1
69583,33;0;0
3800;9;0
6000;9;0
4500;4;1
18193;6;0
5000;3;0
4500;5;0
8000;4;0
5500;1;0
4500;1;0
12075;5;1
4500;1;1
5500;3;0
16000;10;1
7500;3;0
4350;2;0
5000;4;1
7000;0;0
8772,86;3;0
5675,85;3;0
3000;3;0
79166,67;4;1
8342,34;2;1
2500;3;0
10500;3;0
72856;4;1
15000;5;1
5000;2;1
9000;3;0
4800;1;0
8000;2;1
8500;3;0
7500;2;1
6000;5;0
7500;4;1
4000;1;0
7500;1;1
10000;3;1
2539,25;2;0
15500;6;1
6000;4;0
12000;4;1
6492,38;9;1
14000;5;1
3000;1;0
12000;4;0
10000;1;0
6700;1;0
40000;3;1
4600;2;0
15997,8;13;1
4600;1;0
12000;6;0
3500;2;0
4000;6;0
13501,05;1;1
8000;2;1
5600;3;0
93546;3;1
4800;5;0
10000;1;1
8000;2;0
8362,48;1;1
7000;2;0
7256,45;11;1
7500;7;1
16008,83;2;0
4000;1;0
3800;1;0
15000;1;0
5000;3;0
12500;2;1
13000;12;1
2520;3;0
3200;1;0
2712,04;4;0
3060;1;0
5000;5;1
8000;1;0
7400;3;1
8000;5;0
4698;5;0
6500;2;1
9000;2;0
27993,33;2;0
6000;2;1
3321,53;4;1
9000;0;1
4800;5;1
3704;3;1
7741;1;0
5659;4;0
84878;4;0
7000;11;0
7000;0;0
11450;5;0
4300;4;1
2422;2;0
2150;2;0
5000;6;1
6000;2;1
18380,83;10;1
6000;2;0
9000;1;0
30647;5;0
3500;1;0
8300;2;1
5000;2;0
21528,66;0;0
5500;0;1
10000;1;1
8000;1;0
7500;7;1
8200;5;1
10000;5;1
2650,32;2;0
220326,72;7;0
5075;1;0
3419,91;4;0
5700;2;0
8000;4;0
6700;3;0
5000;2;0
12000;15;1
20000;3;0
8000;1;0
15000;8;1
4500;10;1
6000;1;0
12000;2;0
7000;2;0
10000;3;0
2473;1;0
35000;15;1
8400;2;1
10000;5;1
6300;2;0
5500;3;1
2786;5;0
10000;3;1
7500;8;0
7000;13;1
6000;1;0
11656,33;2;0
2300;0;0
8100;1;0
6000;2;1
7909,5;2;0
8000;5;0
21900;5;1
1800;1;0
5800;3;1
13500;1;0
4000;2;0
10200;1;1
8500;10;1
7500;3;0
7781,66;1;1
8000;3;1
28000;14;1
10000;3;1
6000;1;1
5200;6;0
7500;6;1
15724;6;0
4940;1;0
18676;14;0
10000;2;0
10500;0;0
6500;3;0
8000;1;0
3500;2;0
7500;3;1
9000;6;1
8379,92;3;0
7000;0;0
6500;5;1
3439;4;0
4700;1;0
7800;3;0
3500;2;0
3850;0;0
6753;7;0
5500;0;0
7100;6;1
14000;14;1
16000;1;1
6000;0;0
9000;10;0
5200;1;0
10000;1;0
3372,67;2;0
12254;1;1
11000;5;1
8000;4;1
5000;2;0
5900;4;0
7500;7;1
8500;2;1
5000;2;0
6500;2;0
20000;5;1
5500;3;1
2496,27;1;0
15000;2;0
6000;4;1
7300;2;1
4100;4;0
12000;4;1
3200;1;0
9300;2;0
3000;0;1
15000;10;0
2600;2;0
5600;2;0
6700;5;1
7000;7;0
3500;2;0
15000;5;0
4726,53;1;0
8000;4;0
5200;4;0
8000;3;1
30000;5;0
12000;4;0
12000;6;0
30000;7;1
6500;2;0
6000;4;0
5000;1;0
15000;2;1
6900;4;0
4500;3;1
12677,2;3;1
7300;2;1
7000;1;0
5182,31;3;0
8000;5;1
5000;1;0
4600;2;0
6000;2;0
2700;1;0
6500;3;1
12000;2;1
6500;2;0
70812,66;4;1
12000;6;0
5500;6;0
7000;6;0
7041,21;2;0
3200;0;0
12236;6;1
40000;0;0
60000;5;0
10000;3;0
5500;13;1
4500;3;0
6500;4;0
6000;16;1
3491,96;2;0
12000;2;0
8000;2;1
10680;2;0
5500;1;1
2250;4;0
12197,73;2;0
8000;1;0
6100;6;1
7000;8;1
13000;2;1
4500;3;0
4800;2;0
8000;3;1
9371,56;3;1
3300;4;0
6350;2;0
3400;1;0
17000;3;1
14989,1;1;1
6000;5;1
3155;6;1
10000;11;1
4800;0;0
10000;5;1
8800;3;0
44771,4;11;1
13970,85;1;0
12000;4;1
5000;3;0
21000;3;0
8000;5;0
14273,29;1;0
8000;4;1
23851,57;3;0
5000;1;0
9000;1;1
15000;3;0
6000;1;0
3200;2;1
6500;0;1
5800;3;1
14071,6;2;0
10000;6;1
8500;3;1
9192,63;3;1
10000;2;1
2576;1;1
7500;3;1
30000;4;0
12000;6;1
3852;1;0
41095;13;1
4000;5;1
3200;4;1
4800;2;1
7000;1;0
5320,19;2;0
79424,4;11;0
3200;1;1
5200;1;0
10000;2;0
67822;3;1
6241,9;8;1
2905,7;3;1
4600;2;0
6000;5;0
7000;1;0
20000;6;1
12968,32;5;0
3200;3;0
11000;2;1
2500;1;0
3300;3;0
7000;4;1
6000;2;0
4500;10;1
19990;0;0
69070,08;4;1
5500;2;0
3400;4;1
7500;3;0
7354,46;4;0
4800;8;0
4500;2;0
4000;3;0
17471,48;1;1
2600;3;0
21976,5;5;1
8000;3;0
3200;2;1
5600;7;1
3200;3;1
3450;2;0
5000;2;0
6000;1;1
5335,28;3;0
4400;6;0
7000;2;0
5500;1;0
11000;6;0
4200;3;0
27368,99;2;0
7000;2;1
2624;0;0
4000;2;0
8000;0;1
52689;2;0
10000;0;0
9000;2;1
3200;3;0
10000;9;1
7200;2;1
9000;2;0
7700;5;0
7594,41;3;0
8000;2;0
2200;1;0
23629,5;3;0
4000;1;0
8400;4;1
7000;3;0
16744,21;3;1
15000;3;0
3900;0;0
68461,56;8;1
2560;0;0
4300;3;0
8553,9;0;0
8000;1;0
7022;4;0
8200;4;0
9000;4;0
3000;2;0
4400;0;0
6133,44;3;0
4500;2;0
4000;0;0
10000;1;0
7630;0;0
13000;5;1
10000;4;0
11000;5;1
6200;2;1
12000;4;1
19000;4;1
10000;2;0
7000;1;0
6000;8;1
2100;2;0
20000;6;1
12200;11;0
5500;4;1
72396,95;8;1
6800;5;0
68461,56;8;1
5600;1;1
5000;3;1
7000;1;0
20000;1;0
12600;6;1
10583;3;0
5840;5;1
7000;2;1
11000;1;0
17709,66;6;0
5000;0;1
104331;1;0
16200;7;1
6700;3;0
5100;3;0
4660;8;0
6500;4;0
5000;5;0
5300;4;1
8000;3;1
12000;5;1
7000;1;1
7000;3;1
7000;2;0
18273,5;1;1
9800;8;0
6665,11;2;0
5500;3;0
6200;1;0
54045,42;2;1
17730,06;0;0
2500;2;0
10590;0;0
9000;1;0
2560;1;0
8000;2;1
14391,7;2;1
4800;1;0
5388;2;1
6564,64;2;0
10000;1;1
8000;3;0
6000;1;0
4371,24;4;0
5800;3;0
4200;5;0
5000;8;1
78980,41;8;1
7000;3;1
14009,81;2;1
10000;4;0
6500;1;0
4650;0;0
3500;4;1
15000;2;0
4068,35;2;0
4000;1;0
4600;8;1
5000;3;0
5000;0;0
7500;3;0
4800;0;0
2682,65;4;0
3500;1;0
4500;0;0
8000;2;0
2600;0;1
7000;2;0
2400;2;0
4500;2;1
8000;2;1
4200;2;1
4500;1;1
4000;1;1
8300;0;0
20000;5;0
5500;3;0
4200;5;1
6200;1;1
20248,9;1;0
41307,73;11;1
6500;4;1
4700;2;0
10000;1;1
4500;0;0
7500;1;1
48458,33;8;0
6000;1;0
5100;3;0
7000;4;0
8780;6;0
3300;1;0
8200;4;1
5200;5;0
5000;4;1
8000;5;0
3000;1;0
11000;4;1
2541,62;0;0
22725,94;4;0
12000;6;1
8500;3;1
5000;1;0
3200;2;0
5000;1;0
2800;3;0
6400;2;0
15000;2;1
5300;2;1
3812,19;7;0
3390;2;0
3600;6;0
7500;2;1
5000;4;1
3500;0;0
5113,73;3;0
4152,92;4;0
4500;4;1
16600;5;0
11000;3;1
4500;4;0
9686;4;0
10000;5;1
10000;2;1
5000;2;0
5000;4;0
6000;3;1
4000;4;0
10000;3;1
7500;3;1
4500;1;0
5970;3;0
15187,67;1;1
10000;0;0
6500;2;0
6000;3;0
49000;1;1
7000;1;0
15124,6;6;1
7000;1;0
8000;2;0
15000;3;0
9058,57;1;0
10000;1;1
2700;2;1
6500;9;1
4500;1;0
3001,69;0;0
6000;3;1
7800;2;0
7000;3;0
10000;4;0
4636,11;2;0
2000;0;0
10000;2;1
5506,7;0;0
9000;3;0
5500;0;0
10000;4;1
3200;3;0
15209,76;9;1
3836,02;2;1
8900;5;1
6000;9;1
18000;3;0
7000;3;0
5000;1;0
9500;2;0
3990,41;4;0
6500;2;0
6800;4;1
5500;7;0
5500;1;0
3800;1;0
25000;5;0
3500;2;1
7200;1;1
12000;2;1
6000;3;1
4000;1;1
7000;7;1
6862,31;5;0
4500;5;1
3000;1;0
5500;6;1
3212;0;0
4000;2;0
3840;2;1
13200;8;1
8000;7;1
2520;3;0
7000;2;1
7000;1;0
8700;6;0
5500;2;0
6252;0;0
4600;2;0
6000;4;1
22268,86;3;0
8000;3;0
5100;2;0
5500;2;1
4500;1;0
8797;2;1
10000;3;1
2175;3;1
3742,68;3;1
6200;14;1
57974,4;4;0
4800;1;1
20000;5;0
4000;2;0
7500;3;0
10500;3;0
4215,97;3;0
9800;3;1
6760;1;0
3107;6;0
10500;3;0
29743,33;5;1
4000;1;0
6331,58;2;1
3500;1;0
8000;2;0
4500;4;0
69478,23;0;1
4000;2;0
8400;5;0
3200;1;0
10059,1;3;0
3300;3;0
4276,14;2;0
7800;2;0
7000;2;0
8200;5;0
6000;2;1
5200;3;0
15000;2;0
7000;4;0
10500;1;0
10000;2;0
8281;7;1
5702;1;0
32200;4;0
5400;5;0
3200;1;0
15000;3;0
3200;1;0
8000;2;1
15000;3;1
10000;4;1
8248;2;0
3800;7;0
8000;1;1
6207,28;1;0
7000;2;1
13000;2;0
8600;1;1
5500;3;0
7500;3;1
6000;6;1
8000;1;0
7800;2;1
8000;2;1
3200;1;0
4800;2;0
31719,44;2;0
176896,16;1;0
10000;4;1
5500;1;1
5500;2;1
7000;2;1
3800;0;0
7000;2;0
5500;2;1
5400;2;0
35000;4;1
8000;3;0
4600;4;0
3270;1;0
4000;1;0
6000;4;0
7500;2;0
15638;3;1
4500;1;1
3000;0;0
10000;1;0
4000;1;0
9800;1;1
7500;2;1
7500;2;1
7000;1;0
6000;8;1
4200;2;0
4800;3;0
9400;4;1
5500;1;1
3000;0;0
18000;3;0
6500;4;0
6500;2;1
6500;1;0
7000;2;0
7000;2;1
4000;1;1
6500;2;0
9000;2;1
4100;3;0
6000;2;0
9100;2;0
8600;1;1
12000;0;0
4500;2;1
8500;2;0
34600;8;0
6000;1;0
7000;2;1
8000;4;1
6000;3;0
6000;6;0
20120;2;0
10000;1;0
6000;2;1
5500;1;1
4200;9;1
4600;2;0
5616;4;0
7600;1;1
9000;3;1
7500;4;0
20000;0;0
6000;4;1
4700;3;1
8200;3;1
5750;1;0
9000;6;0
2700;1;0
2800;9;1
4800;2;0
6965;2;1
15000;1;1
5300;0;0
9000;2;1
8000;3;0
6700;1;1
3000;6;0
15000;7;1
10000;5;0
8613;6;1
10000;4;0
6000;2;0
4000;2;0
5400;2;0
5200;1;1
5000;3;0
9500;2;0
15000;4;0
3000;3;0
6300;6;0
4800;8;0
4822,23;4;0
6000;1;1
8600;3;1
3200;0;0
6500;1;1
4500;4;0
44771,4;11;1
5864,99;1;1
8000;2;0
8000;3;0
7000;0;0
5475;4;1
3000;9;0
18000;6;0
60000;1;0
6000;2;0
3200;3;1
7927,84;6;0
7000;2;0
7000;1;0
7500;1;0
63888,67;7;0
30000;9;1
8000;3;1
7200;2;1
10000;4;1
5500;3;0
6000;3;0
9391,66;1;1
10000;8;1
3840;0;0
8500;5;1
17000;1;1
10800;5;1
3500;1;0
8000;3;1
8200;5;1
6000;4;1
6500;8;1
13000;5;1
8000;7;1
9000;0;0
10200;1;1
68739,94;14;1
8996,55;1;0
7000;11;0
13000;7;0
3000;2;0
7838,48;1;0
9500;1;1
4000;2;1
8500;2;1
10000;8;1
89849,17;5;1
13700;6;0
15162,83;0;0
7800;1;1
7000;4;0
8000;1;0
10000;4;1
11000;2;1
6000;3;0
10000;1;0
5600;4;0
5000;0;0
7000;7;0
3262;3;1
6000;1;0
4100;5;0
6800;1;0
20000;5;0
4300;4;0
4300;1;0
5000;2;0
4741,85;1;0
9000;1;1
5500;2;1
10000;0;1
6000;4;1
10000;6;1
12500;5;1
6000;1;0
3322,45;1;0
6624,18;3;0
5000;1;0
6500;1;0
8000;1;0
13373;3;0
20000;1;0
15000;5;1
5000;3;0
10000;7;1
10000;2;0
9500;3;0
5000;6;0
2900;1;0
9000;16;1
6000;2;0
5000;2;0
13000;4;1
6000;2;1
6000;5;1
10000;1;1
2137,04;0;0
7000;1;0
25500;6;0
13000;7;1
6000;2;1
6500;1;0
3300;2;0
5000;2;0
5500;4;1
6600;2;0
4075;0;0
8000;5;0
15000;1;0
4900;1;1
10000;9;0
7000;2;0
30000;6;1
12600;1;0
4000;3;1
9000;4;0
16000;1;0
5000;2;0
9000;1;1
20166;7;1
8500;0;1
6000;0;1
10000;4;0
9154,46;5;1
4000;0;0
20000;6;0
6500;5;1
6500;5;0
7100;4;0
2918;6;1
15000;1;0
3200;1;0
15000;4;1
8000;3;0
6000;3;0
3600;2;1
3100;3;0
7000;5;1
6500;3;0
6474,57;2;0
4800;2;0
4000;2;0
9000;3;1
4690;3;0
5000;6;1
2700;2;0
7500;7;0
2719,83;2;0
12000;0;0
9800;4;0
7000;4;0
5800;3;1
9537,09;4;0
3500;1;0
12000;6;1
3500;1;1
24748,63;3;1
10000;0;0
11000;1;0
6000;1;1
8212;4;0
3000;1;0
5500;3;0
4500;1;0
2500;5;0
17000;7;0
10000;4;0
10000;0;0
12500;2;0
7500;2;1
10000;6;0
3200;1;1
7000;4;1
6200;2;0
4000;4;0
7000;1;1
9000;2;1
4500;1;0
7700;1;1
5772,78;3;0
7500;2;1
7300;2;1
8000;3;1
19506,65;5;0
9000;5;1
4500;1;0
3000;3;0
4500;2;1
9500;1;0
8000;1;0
4500;0;0
10000;6;1
8500;1;0
4700;1;1
4500;2;0
7000;1;1
6586,03;5;0
5000;2;0
7000;1;0
7000;1;1
5000;1;0
6570,2;2;0
3200;4;0
124636,74;2;0
4400;4;0
3900;3;1
4700;2;1
8000;3;1
3500;0;0
5500;4;0
12796;5;1
5000;1;0
2500;1;0
12000;1;0
4200;1;1
8200;4;1
13000;5;1
4033;4;0
7371,08;2;0
15000;3;1
9000;0;0
13000;2;0
4500;10;0
5000;3;1
12000;8;1
16673,72;5;0
3500;1;0
7000;1;0
5500;3;1
8000;2;1
6000;6;1
6000;0;0
15000;3;1
7895;4;0
30000;7;1
3000;4;0
19343,63;3;0
5000;2;1
5200;2;0
7000;3;1
2570,07;4;0
5000;8;1
7000;4;1
5500;3;0
15000;3;0
6800;1;1
3550;3;0
4150;3;1
10000;2;1
6000;1;0
5200;2;1
2737,85;1;0
8000;0;0
10000;4;1
6500;5;1
3900;4;0
5500;2;0
5000;3;1
8000;0;1
7100;0;0
5000;4;1
3037;1;0
4000;1;0
12000;1;1
8000;3;1
18000;4;0
5200;1;0
8000;1;1
5500;2;1
4200;2;1
7200;3;1
4500;3;1
5000;1;0
9370;1;0
8000;1;1
4600;1;0
33486;3;1
20000;8;0
18000;2;1
