"";"LOAN_AMOUNT";"BRANCH_REGION";"CLIENT_GENDER";"CLIENT_FAMILYSTATUS";"CLIENT_TOTALEXPERIENCE";"CLIENT_EDUCATION";"CLIENT_ACTIVITYTYPE";"CLIENT_TOGETHER.INCOME";"LOAN_OUTSTANDINGLOANSCOUNT";"LOAN_OVERDUE_EXIST_FLAG";"EMPLOYMENTTYPE";"LOAN.TERM";"ZODIAC";"ZODIAC_CHINA";"AGE";"CHANGE.WORK";"REAL_ESTATE";"CAR";"DELAY"
"715";-0,742120884534581;13;0;3;-1,25475635286917;4;3;-0,614870844036545;-0,421641485732825;1;1;-0,191583059679487;4;4;-0,887621806231748;0;1;1;0
"716";-0,96358019403916;14;1;4;0,249776677570664;0;3;-0,256349170578141;1,33102152187544;1;1;-1,25992952737276;2;8;0,54426937379909;1;0;1;1
"717";0,417357188618398;13;0;3;0,412428897077674;0;5;0,0797648982891123;-0,421641485732825;0;1;0,876763408013791;4;9;-1,41516066203258;0;1;1;0
"718";-0,92834948487273;14;0;4;-0,482158310210877;5;3;-0,58125943714982;-0,421641485732825;1;1;-1,25992952737276;11;1;-0,887621806231748;0;1;1;1
"719";0,417357188618398;7;0;3;-0,8887888589784;5;5;-0,480425216489644;-0,859807237634891;0;1;0,876763408013791;9;11;-0,812259112545914;0;0;1;1
"720";-0,846143742089595;13;0;1;2,20160331165478;4;3;-0,480425216489644;-0,859807237634891;0;1;-1,25992952737276;11;8;1,44862169802909;0;0;1;1
"721";0,100066274649221;9;0;3;-1,21409329799242;2;5;-0,480425216489644;-0,859807237634891;0;1;0,876763408013791;7;8;-1,26443527466092;0;0;1;0
"724";3,59289428829423;6;1;4;0,656407226338188;0;5;0,420136412028685;-0,421641485732825;1;1;1,94218289908325;7;8;0,54426937379909;0;0;1;0
"725";-0,846143742089595;15;0;1;2,03895109214777;1;3;-0,592463239445395;-1,29797298953696;0;0;-1,25992952737276;3;5;2,1268859412016;0;0;1;1
"726";-0,758065837081322;6;0;4;-0,319506090703868;0;3;-0,592463239445395;-0,859807237634891;1;1;-1,25992952737276;5;8;-0,435445644116746;0;0;1;0
"727";-0,523191801089995;7;1;3;-1,37674551749943;0;5;-0,480425216489644;-1,29797298953696;0;1;-1,25992952737276;11;5;-1,49052335571842;0;1;1;1
"728";3,59289428829423;3;1;3;-1,13276718823891;5;5;4,85477541969108;0,892855769973374;1;4;1,94803685233089;2;3;-1,11370988728925;0;0;1;0
"729";-0,515476592768362;18;1;4;0,900385555598701;0;5;0,639955013067868;0,454690018071308;1;4;0,873836431389973;4;7;0,54426937379909;0;0;1;1
"730";1,88072220412968;13;0;4;0,900385555598701;1;3;0,185206122453229;0,892855769973374;1;1;-0,191583059679487;2;8;0,54426937379909;0;1;1;1
"731";1,93886815749894;6;1;4;-0,726136639471391;0;5;0,627910925600125;0,892855769973374;1;1;1,94803685233089;7;2;-0,962984499917581;0;0;1;0
"732";-0,217224073273859;4;1;4;-0,563484419964382;0;1;-0,368387193533893;0,0165242661692412;1;1;0,873836431389973;7;4;-0,812259112545914;0;0;1;1
"734";-0,724888743160005;11;0;3;-0,970114968731905;5;5;-0,592463239445395;-0,859807237634891;1;1;0,873836431389973;2;2;-0,0586321756875784;0;0;1;1
"735";0,35581382656634;2;1;4;-0,238179980950363;0;2;-0,312368182056017;-0,859807237634891;1;1;-0,191583059679487;1;3;-0,284720256745079;0;1;1;1
"736";-0,816784063056105;14;0;4;-0,319506090703868;4;1;-0,570055634854245;-1,29797298953696;0;1;-1,25992952737276;10;1;-0,0586321756875784;0;1;1;1
"737";-0,978720795080029;14;0;1;1,71364665313375;5;0;-0,836878668044284;0,0165242661692412;1;1;0,873836431389973;11;9;1,29789631065743;0;1;1;1
"738";0,0508315850075738;0;0;3;0,249776677570664;0;5;-0,323571984351592;-0,859807237634891;1;1;-0,191583059679487;5;2;-0,0586321756875784;0;1;1;1
"739";-0,875502855076986;11;1;4;1,71364665313375;0;1;-0,536444227967519;-0,859807237634891;0;1;-1,78971229628368;6;1;1,82543516645826;0;0;1;1
"740";-0,699347045060441;13;0;1;1,30701610436622;0;2;-0,368387193533893;-0,421641485732825;1;1;-1,25992952737276;5;8;1,44862169802909;0;0;1;1
"741";0,35581382656634;14;1;4;0,0871244580636551;0;3;-0,536444227967519;0,454690018071308;1;1;-0,191583059679487;6;4;0,0920932116840887;0;1;1;1
"742";-0,875502855076986;14;0;4;-0,8887888589784;5;3;-0,682093657809996;-1,29797298953696;0;1;-1,25992952737276;10;10;-0,51080833780258;0;1;1;1
"743";1,88072220412968;14;0;4;0,900385555598701;0;3;0,0676132543193316;-0,421641485732825;0;1;-0,191583059679487;11;10;0,468906680113257;1;1;1;1
"744";-0,803116880009456;4;1;4;0,900385555598701;0;1;-0,469221414194069;-0,421641485732825;1;1;-0,191583059679487;10;1;0,845720148542424;0;0;1;0
"746";-0,681124323013608;3;1;3;-0,8887888589784;4;5;-0,256349170578141;-1,29797298953696;1;1;-0,191583059679487;0;7;-1,18907258097508;0;0;1;0
"748";3,59289428829423;6;0;4;0,16845056781716;0;5;4,85477541969108;0,892855769973374;1;4;0,873836431389973;10;2;-0,133994869373412;0;0;0;0
"749";-0,758065837081322;13;0;4;0,249776677570664;0;3;-0,368387193533893;0,0165242661692412;1;1;-1,25992952737276;4;4;0,0167305179982552;0;0;1;1
"751";-0,875502855076986;13;1;3;-0,726136639471391;5;3;-0,401998600420618;-0,859807237634891;1;1;-1,25992952737276;5;0;-0,661533725174247;0;1;1;1
