LOAN_PRODUCT_TYPE;LOAN_AMOUNT;BRANCH_REGION;CLIENT_GENDER;CLIENT_FAMILYSTATUS;CLIENT_TOTALEXPERIENCE;CLIENT_EDUCATION;CLIENT_ACTIVITYTYPE;CLIENT_TOGETHER INCOME;LOAN_OUTSTANDINGLOANSCOUNT;LOAN_OVERDUE_EXIST_FLAG;EMPLOYMENTTYPE;LOAN TERM;ZODIAC;ZODIAC_CHINA;AGE;CHANGE-WORK;REAL_ESTATE;CAR;DELAY
Consumer loan without income certificate;5186,72;Zhytomyr region;M;Одружений (-на);30;Середня;торгівля та послуги;5500;3;Так;Офіційно працевлаштований;180;рыбы;Лошадь;51; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;22421,52;Zaporozhye region;F;Неодружений(-на);10;Середня - технічна;торгівля та послуги;4200;5;Так;Офіційно працевлаштований;1093;рак;Петух;36; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;12931,03;Poltava region;M;Одружений (-на);27;Середня - технічна;торгівля та послуги;6200;1;Так;Офіційно працевлаштований;729;близнецы;Петух;60; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan with income statement;107758,62;Kiev;F;Одружений (-на);39;Вища освіта;с/господарство;20248,9;1;Так;Офіційно працевлаштований;729;весы;Крыса;56; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan with income statement;46728,97;Kharkiv region;F;Неодружений(-на);35;Середня - технічна;торгівля та послуги;41307,73;11;Так;Самозайнята особа;1460;телец;Кролик;54; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;10373,44;Mykolaiv region;M;Неодружений(-на);6;Середня;торгівля та послуги;6500;4;Так;Офіційно працевлаштований;364;дева;Кролик;30; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Consumer loan without income certificate;10373,44;Poltava region;F;Розлучений (-на);27;Середня - технічна;торгівля та послуги;4700;2;Ні;Офіційно працевлаштований;364;рак;Свинья;46; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;25933,61;Kiev;M;Неодружений(-на);11;Незакінчена вища;торгівля та послуги;10000;1;Ні;Офіційно працевлаштований;364;козерог;Лошадь;27; була зміна місця роботи;має власну нерухомість;має власний автомобіль;Yes
Consumer loan without income certificate;4149,38;Kharkiv region;F;Розлучений (-на);28;Середня - технічна;торгівля та послуги;4500;0;Так;Офіційно працевлаштований;364;водолей;Тигр;55; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;28026,91;Kiev;M;Неодружений(-на);15;Середня;інша;7500;1;Ні;Офіційно працевлаштований;1093;козерог;Лошадь;38; була зміна місця роботи;має власну нерухомість;не має власного;Yes
Loan Consumer Credit;112107,62;Cherkasy region;F;Одружений (-на);19;Вища освіта;виробництво;48458,33;8;Так;ФОП;1093;дева;Обезьяна;49; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;5186,72;Kharkiv region;F;Одружений (-на);23;Вища освіта;інша;6000;1;Ні;Офіційно працевлаштований;180;лев;Коза;50; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;10775,86;Poltava region;M;Неодружений(-на);30;Середня - технічна;торгівля та послуги;5100;3;Ні;Працює не офіційно;729;весы;Кролик;54; була зміна місця роботи;має власну нерухомість;не має власного;No
Consumer loan without income certificate;24896,27;Kharkiv;M;Одружений (-на);7;Вища освіта;інша;7000;4;Ні;Офіційно працевлаштований;364;рак;Кролик;30; не змінювалось місце роботи;не має власної нерухомості;має власний автомобіль;No
Consumer loan without income certificate;16816,14;Kiev;F;Неодружений(-на);40;Середня - технічна;інша;8780;6;Ні;Офіційно працевлаштований;1093;телец;Кролик;66; була зміна місця роботи;має власну нерухомість;не має власного;No
